,place,avg_cost_per_day,trip_duration,popularity_High,popularity_Medium,popularity_Offbeat,popularity_Very High,adventure,beach,bird-watching,boating,camping,canyon,caves,culture,desert,food,forest,heritage,history,islands,lakes,luxury,mountains,nature,nightlife,offbeat,paragliding,peaceful,rafting,river,romantic,safari,skiing,spiritual,trekking,water-sports,waterfalls,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,couple,family,friends,solo,total_cost_log,region_Africa,region_Europe,region_Middle East,region_North America,region_Oceania,region_South Asia,region_Southeast Asia,region_nan,climate_Alpine,climate_Cold,climate_Continental,climate_Dry,climate_Highland,climate_Mediterranean,climate_Subtropical,climate_Temperate,climate_Tropical,climate_nan
573,chamba,-1.134267330460347,-0.0247288077711355,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,-1.2958060907015214,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
574,palampur,-1.0436605410657358,-0.0247288077711355,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,-1.0666867816162002,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
575,kaza,-0.9077503569738191,1.9253143193241298,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,-0.0811973819598993,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
576,jibhi,-1.1795707251576526,-0.0247288077711355,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,-1.4265215655494927,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
577,mashobra,-0.9983571463684303,-0.0247288077711355,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,-0.9650423982086935,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
578,shoghi,-1.0889639357630414,-0.0247288077711355,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,-1.176468904743978,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
579,mussoorie,-0.9530537516711247,-0.0247288077711355,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,-0.8704121260114374,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
580,nainital,-0.9983571463684303,-0.0247288077711355,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,-0.9650423982086935,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
581,rishikesh,-1.1795707251576526,1.9253143193241298,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,-0.725897410706738,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
582,haridwar,-1.2701775145522636,-0.0247288077711355,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,-1.7325402594640829,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
583,auli,-0.7265367781845969,1.9253143193241298,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0.22490130106810993,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
584,lansdowne,-1.0889639357630414,-0.0247288077711355,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,-1.176468904743978,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
585,almora,-1.134267330460347,-0.0247288077711355,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,-1.2958060907015214,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
586,ranikhet,-1.0889639357630414,-0.0247288077711355,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,-1.176468904743978,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
587,chopta,-1.1795707251576526,1.9253143193241298,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,-0.725897410706738,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
588,valley of flowers,-0.9530537516711247,1.9253143193241298,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,-0.1697270244596284,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
589,kausani,-1.134267330460347,-0.0247288077711355,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,-1.2958060907015214,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
590,binsar,-0.9983571463684303,-0.0247288077711355,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,-0.9650423982086935,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
591,mukteshwar,-1.0436605410657358,1.9253143193241298,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,-0.36602043405171414,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
592,chakrata,-1.0889639357630414,-0.0247288077711355,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,-1.176468904743978,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
593,kanatal,-1.0436605410657358,-0.0247288077711355,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,-1.0666867816162002,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
594,srinagar,-0.817143567579208,-0.0247288077711355,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,-0.6203340723893579,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
595,gulmarg,-0.5000198046980691,1.9253143193241298,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0.5310068422596788,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
596,pahalgam,-0.7265367781845969,1.9253143193241298,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0.22490130106810993,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
597,leh,-0.7265367781845969,1.9253143193241298,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0.22490130106810993,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
598,ladakh,-0.6359299887899857,1.9253143193241298,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0.35564586501431683,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
599,sonamarg,-0.817143567579208,1.9253143193241298,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0.08037134713951817,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
600,nubra valley,-0.5000198046980691,2.9003358828717625,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0.7811174062342662,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
601,pangong lake,-0.7265367781845969,2.9003358828717625,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0.4750072927622153,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
602,kargil,-0.9530537516711247,-0.0247288077711355,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,-0.8704121260114374,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
603,patnitop,-0.9077503569738191,-0.0247288077711355,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,-0.7818901026120361,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
604,goa - north,-0.9530537516711247,-0.0247288077711355,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,-0.8704121260114374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
605,goa - south,-0.817143567579208,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,-0.6203340723893579,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
606,palolem beach,-1.0889639357630414,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,-1.176468904743978,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
607,arambol beach,-1.1795707251576526,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,-1.4265215655494927,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
608,agonda beach,-0.9983571463684303,-0.0247288077711355,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,-0.9650423982086935,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
609,varkala,-1.0436605410657358,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,-1.0666867816162002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
610,alleppey,-0.7265367781845969,-0.0247288077711355,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,-0.4758142779007483,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
611,kovalam,-0.817143567579208,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,-0.6203340723893579,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
612,gokarna,-1.2248741198549582,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,-1.5710159676915272,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
613,pondicherry,-1.0889639357630414,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,-1.176468904743978,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
614,mamallapuram,-1.134267330460347,-0.0247288077711355,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-1.2958060907015214,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
615,visakhapatnam,-1.0889639357630414,-0.9997503713187681,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,-1.7325402594640829,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
616,puri,-1.1795707251576526,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-1.4265215655494927,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
617,diu,-1.0436605410657358,-0.0247288077711355,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,-1.0666867816162002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
618,daman,-1.134267330460347,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-1.2958060907015214,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
619,tarkarli,-0.9983571463684303,-0.0247288077711355,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,-0.9650423982086935,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
620,alibaug,-0.9530537516711247,-0.9997503713187681,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,-1.4265215655494927,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
621,murudeshwar,-1.0889639357630414,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-1.176468904743978,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
622,karwar,-1.134267330460347,-0.0247288077711355,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,-1.2958060907015214,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
623,mandvi beach,-1.1795707251576526,-0.0247288077711355,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,-1.4265215655494927,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
624,havelock island,-0.2735028312115413,2.9003358828717625,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1.0312310184889757,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
625,neil island,-0.5000198046980691,2.9003358828717625,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0.7811174062342662,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
626,port blair,-0.7265367781845969,2.9003358828717625,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0.4750072927622153,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
627,ross island,-0.6359299887899857,2.9003358828717625,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0.6057539349969518,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
628,kavaratti,-0.04698585772501346,2.9003358828717625,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1.2427010642609555,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
629,agatti island,-0.04698585772501346,2.9003358828717625,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1.2427010642609555,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
630,bangaram island,0.17953111576151437,2.9003358828717625,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1.4258860156454796,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
631,minicoy island,-0.04698585772501346,2.9003358828717625,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1.2427010642609555,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
632,jaipur,-0.9530537516711247,-0.0247288077711355,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-0.8704121260114374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
633,udaipur,-0.817143567579208,-0.0247288077711355,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,-0.6203340723893579,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
634,jaisalmer,-0.9983571463684303,-0.0247288077711355,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,-0.9650423982086935,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
635,jodhpur,-1.0436605410657358,-0.0247288077711355,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-1.0666867816162002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
636,pushkar,-1.2701775145522636,-0.0247288077711355,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,-1.7325402594640829,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
637,ajmer,-1.1795707251576526,-0.0247288077711355,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-1.4265215655494927,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
638,bikaner,-1.0889639357630414,-0.0247288077711355,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,-1.176468904743978,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
639,mount abu,-0.9983571463684303,-0.0247288077711355,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,-0.9650423982086935,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
640,ranthambore,-0.5000198046980691,-0.0247288077711355,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-0.1697270244596284,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
641,chittorgarh,-1.0889639357630414,-0.0247288077711355,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-1.176468904743978,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
642,bundi,-1.1795707251576526,-0.0247288077711355,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-1.4265215655494927,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
643,alwar,-1.134267330460347,-0.0247288077711355,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-1.2958060907015214,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
644,shekhawati,-1.1795707251576526,-0.0247288077711355,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-1.4265215655494927,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
645,kumbhalgarh,-0.9983571463684303,-0.0247288077711355,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-0.9650423982086935,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
646,ranakpur,-1.0436605410657358,-0.0247288077711355,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-1.0666867816162002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
647,rann of kutch,-0.7265367781845969,-0.0247288077711355,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,-0.4758142779007483,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
648,ahmedabad,-1.0889639357630414,-0.0247288077711355,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-1.176468904743978,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
649,dwarka,-1.1795707251576526,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-1.4265215655494927,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
650,somnath,-1.134267330460347,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,-1.2958060907015214,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
