,place,avg_cost_per_day,trip_duration,popularity_High,popularity_Medium,popularity_Offbeat,popularity_Very High,adventure,beach,bird-watching,boating,camping,canyon,caves,culture,desert,food,forest,heritage,history,islands,lakes,luxury,mountains,nature,nightlife,offbeat,paragliding,peaceful,rafting,river,romantic,safari,skiing,spiritual,trekking,water-sports,waterfalls,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,couple,family,friends,solo,total_cost_log,region_Africa,region_Europe,region_Middle East,region_North America,region_Oceania,region_South Asia,region_Southeast Asia,climate_Alpine,climate_Cold,climate_Continental,climate_Dry,climate_Highland,climate_Mediterranean,climate_Subtropical,climate_Temperate,climate_Tropical,climate_nan
929,dalhousie,1300,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,8.268988209506656,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
930,kullu,1200,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,8.699681400989514,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
931,kufri,1500,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,8.922791623969637,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
932,kasauli,1600,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,8.476579508530941,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
933,chail,2000,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,8.699681400989514,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
934,spiti valley,1800,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,9.105090961257085,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
935,bir billing,1200,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,8.699681400989514,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
936,khajjiar,1300,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,8.268988209506656,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
937,kinnaur,1500,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,8.412054873292933,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
938,chamba,1100,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,8.101980731853192,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
939,palampur,1300,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,8.268988209506656,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
940,kaza,1600,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,8.987321812850125,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
941,jibhi,1000,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,8.006700845440367,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
942,mashobra,1400,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,8.343077871169383,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
943,shoghi,1200,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,8.188966863648876,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
944,mussoorie,1500,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,8.412054873292933,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
945,nainital,1400,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,8.343077871169383,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
946,rishikesh,1000,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,8.517393171418904,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
947,haridwar,800,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,7.783640596221253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
948,auli,2000,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,9.210440366976517,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
949,lansdowne,1200,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,8.188966863648876,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
950,almora,1100,3,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,8.101980731853192,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
951,ranikhet,1200,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,8.188966863648876,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
952,chopta,1000,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,8.517393171418904,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
953,valley of flowers,1500,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,8.922791623969637,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
954,kausani,1100,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,8.101980731853192,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
955,binsar,1400,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,8.343077871169383,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
956,mukteshwar,1300,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,8.77971129020447,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
957,chakrata,1200,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,8.188966863648876,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
958,kanatal,1300,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,8.268988209506656,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
959,srinagar,1800,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,8.594339400592892,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
960,gulmarg,2500,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,9.433563920090563,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
961,pahalgam,2000,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,9.210440366976517,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
962,leh,2000,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,9.210440366976517,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
963,ladakh,2200,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,9.305741456739435,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
964,sonamarg,1800,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,9.105090961257085,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
965,nubra valley,2500,6,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,9.61587214452889,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
966,pangong lake,2000,6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,9.392745258631441,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
967,kargil,1500,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,8.412054873292933,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
968,patnitop,1600,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,8.476579508530941,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
969,goa - north,1500,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,8.412054873292933,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
970,goa - south,1800,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,8.594339400592892,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
971,palolem beach,1200,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,8.188966863648876,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
972,arambol beach,1000,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,8.006700845440367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
973,agonda beach,1400,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,8.343077871169383,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
974,varkala,1300,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,8.268988209506656,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
975,alleppey,2000,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,8.699681400989514,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
976,kovalam,1800,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,8.594339400592892,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
977,gokarna,900,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,7.901377353792616,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
978,pondicherry,1200,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,8.188966863648876,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
979,mamallapuram,1100,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.101980731853192,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
980,visakhapatnam,1200,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,7.783640596221253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
981,puri,1000,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.006700845440367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
982,diu,1300,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,8.268988209506656,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
983,daman,1100,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.101980731853192,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
984,tarkarli,1400,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,8.343077871169383,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
985,alibaug,1500,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,8.006700845440367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
986,murudeshwar,1200,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.188966863648876,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
987,karwar,1100,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,8.101980731853192,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
988,mandvi beach,1000,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,8.006700845440367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
989,havelock island,3000,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,9.798182590890704,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
990,neil island,2500,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,9.61587214452889,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
991,port blair,2000,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,9.392745258631441,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
992,ross island,2200,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,9.488047863280759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
993,kavaratti,3500,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,9.952325334619427,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
994,agatti island,3500,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,9.952325334619427,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
995,bangaram island,4000,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,10.085850775128717,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
996,minicoy island,3500,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,9.952325334619427,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
997,jaipur,1500,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.412054873292933,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
998,udaipur,1800,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,8.594339400592892,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
999,jaisalmer,1400,3,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,8.343077871169383,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1000,jodhpur,1300,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.268988209506656,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1001,pushkar,800,3,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,7.783640596221253,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1002,ajmer,1000,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.006700845440367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1003,bikaner,1200,3,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,8.188966863648876,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1004,mount abu,1400,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,8.343077871169383,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1005,ranthambore,2500,3,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.922791623969637,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1006,chittorgarh,1200,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.188966863648876,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1007,bundi,1000,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.006700845440367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1008,alwar,1100,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.101980731853192,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1009,shekhawati,1000,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.006700845440367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1010,kumbhalgarh,1400,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.343077871169383,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1011,ranakpur,1300,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.268988209506656,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1012,rann of kutch,2000,3,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,8.699681400989514,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1013,ahmedabad,1200,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.188966863648876,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1014,dwarka,1000,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.006700845440367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1015,somnath,1100,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,8.101980731853192,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
